,background_image,background_image_original,date_uploaded,date_uploaded_unix,description_full,genres,id,imdb_code,language,large_cover_image,medium_cover_image,mpa_rating,rating,runtime,slug,small_cover_image,state,summary,synopsis,title,title_english,title_long,torrents,url,year,yt_trailer_code
0,https://yts.mx/assets/images/movies/man_in_the_shadow_1957/background.jpg,https://yts.mx/assets/images/movies/man_in_the_shadow_1957/background.jpg,2020-07-14 17:24:43,1594740283,"In effect, modern cow town Spurline is run by Virgil Renchler, owner of the Golden Empire Ranch. One night, two of Virgil's henchmen go a little too far and beat a ""bracero"" ranch hand to death. Faced with an obvious cover-up and opposition on every hand, sheriff Ben Sadler is goaded into investigating. His unlikely ally: Renchler's lovely, self-willed and overprotected daughter. Will Ben survive Renchler's wrath?","['Action', 'Crime', 'Drama', 'Thriller', 'Western']",19249,tt0050680,English,https://yts.mx/assets/images/movies/man_in_the_shadow_1957/large-cover.jpg,https://yts.mx/assets/images/movies/man_in_the_shadow_1957/medium-cover.jpg,,6.9,80,man-in-the-shadow-1957,https://yts.mx/assets/images/movies/man_in_the_shadow_1957/small-cover.jpg,ok,"In effect, modern cow town Spurline is run by Virgil Renchler, owner of the Golden Empire Ranch. One night, two of Virgil's henchmen go a little too far and beat a ""bracero"" ranch hand to death. Faced with an obvious cover-up and opposition on every hand, sheriff Ben Sadler is goaded into investigating. His unlikely ally: Renchler's lovely, self-willed and overprotected daughter. Will Ben survive Renchler's wrath?","In effect, modern cow town Spurline is run by Virgil Renchler, owner of the Golden Empire Ranch. One night, two of Virgil's henchmen go a little too far and beat a ""bracero"" ranch hand to death. Faced with an obvious cover-up and opposition on every hand, sheriff Ben Sadler is goaded into investigating. His unlikely ally: Renchler's lovely, self-willed and overprotected daughter. Will Ben survive Renchler's wrath?",Man in the Shadow,Man in the Shadow,Man in the Shadow (1957),"[{'date_uploaded_unix': 1594740283, 'size': '736.05 MB', 'peers': 15, 'size_bytes': 771804365, 'type': 'bluray', 'seeds': 18, 'date_uploaded': '2020-07-14 17:24:43', 'quality': '720p', 'hash': '0D927EE8ABFBCBF41256474AD49EEB4B4582AD4C', 'url': 'https://yts.mx/torrent/download/0D927EE8ABFBCBF41256474AD49EEB4B4582AD4C'}, {'date_uploaded_unix': 1594746949, 'size': '1.33 GB', 'peers': 11, 'size_bytes': 1428076626, 'type': 'bluray', 'seeds': 27, 'date_uploaded': '2020-07-14 19:15:49', 'quality': '1080p', 'hash': '4A8F799343354440FF9B1A368850E5E89DBBD5A2', 'url': 'https://yts.mx/torrent/download/4A8F799343354440FF9B1A368850E5E89DBBD5A2'}]",https://yts.mx/movies/man-in-the-shadow-1957,1957,EMIDUpSFCso
1,https://yts.mx/assets/images/movies/zombie_for_sale_2019/background.jpg,https://yts.mx/assets/images/movies/zombie_for_sale_2019/background.jpg,2020-07-14 16:57:56,1594738676,"When a pharmaceutical company's illegal experiments inadvertently create a zombie, the strange Park family finds it and tries to profit from it.","['Comedy', 'Horror']",19248,tt9765144,English,https://yts.mx/assets/images/movies/zombie_for_sale_2019/large-cover.jpg,https://yts.mx/assets/images/movies/zombie_for_sale_2019/medium-cover.jpg,,6.5,112,zombie-for-sale-2019,https://yts.mx/assets/images/movies/zombie_for_sale_2019/small-cover.jpg,ok,"When a pharmaceutical company's illegal experiments inadvertently create a zombie, the strange Park family finds it and tries to profit from it.","When a pharmaceutical company's illegal experiments inadvertently create a zombie, the strange Park family finds it and tries to profit from it.",Zombie for Sale,Zombie for Sale,Zombie for Sale (2019),"[{'date_uploaded_unix': 1594738676, 'size': '1.01 GB', 'peers': 32, 'size_bytes': 1084479242, 'type': 'bluray', 'seeds': 159, 'date_uploaded': '2020-07-14 16:57:56', 'quality': '720p', 'hash': 'D7302B873BCCDF690FB17C76162495C8A6B53082', 'url': 'https://yts.mx/torrent/download/D7302B873BCCDF690FB17C76162495C8A6B53082'}, {'date_uploaded_unix': 1594748383, 'size': '2.06 GB', 'peers': 32, 'size_bytes': 2211908157, 'type': 'bluray', 'seeds': 157, 'date_uploaded': '2020-07-14 19:39:43', 'quality': '1080p', 'hash': 'DF6E1E8A2F7EA8CF13D130CECCEBE6DEAEFBE5C5', 'url': 'https://yts.mx/torrent/download/DF6E1E8A2F7EA8CF13D130CECCEBE6DEAEFBE5C5'}]",https://yts.mx/movies/zombie-for-sale-2019,2019,sL6FOB0N3P8
2,https://yts.mx/assets/images/movies/game_of_death_2017/background.jpg,https://yts.mx/assets/images/movies/game_of_death_2017/background.jpg,2020-07-14 20:19:34,1594750774,"Kill or be killed is the golden rule of the Game of Death. Sucks for seven millennials who ignored that rule. Now each one's head will explode unless they kill someone. Will they turn on each other to survive, or will this sunny day be the last for the innocent people of their middle-of-nowhere town?","['Horror', 'Thriller']",19247,tt6302164,English,https://yts.mx/assets/images/movies/game_of_death_2017/large-cover.jpg,https://yts.mx/assets/images/movies/game_of_death_2017/medium-cover.jpg,,5.6,73,game-of-death-2017,https://yts.mx/assets/images/movies/game_of_death_2017/small-cover.jpg,ok,"Kill or be killed is the golden rule of the Game of Death. Sucks for seven millennials who ignored that rule. Now each one's head will explode unless they kill someone. Will they turn on each other to survive, or will this sunny day be the last for the innocent people of their middle-of-nowhere town?","Kill or be killed is the golden rule of the Game of Death. Sucks for seven millennials who ignored that rule. Now each one's head will explode unless they kill someone. Will they turn on each other to survive, or will this sunny day be the last for the innocent people of their middle-of-nowhere town?",Game of Death,Game of Death,Game of Death (2017),"[{'date_uploaded_unix': 1594750774, 'size': '674.24 MB', 'peers': 16, 'size_bytes': 706991882, 'type': 'web', 'seeds': 73, 'date_uploaded': '2020-07-14 20:19:34', 'quality': '720p', 'hash': '3DC7B1E2E7AC86C789E6821F97E26B7AADB8CA3A', 'url': 'https://yts.mx/torrent/download/3DC7B1E2E7AC86C789E6821F97E26B7AADB8CA3A'}, {'date_uploaded_unix': 1594756545, 'size': '1.35 GB', 'peers': 10, 'size_bytes': 1449551462, 'type': 'web', 'seeds': 52, 'date_uploaded': '2020-07-14 21:55:45', 'quality': '1080p', 'hash': '62D21F2FD2D2083B8AB7454FA3E9D41E29233450', 'url': 'https://yts.mx/torrent/download/62D21F2FD2D2083B8AB7454FA3E9D41E29233450'}]",https://yts.mx/movies/game-of-death-2017,2017,F-08gsWOYLc
3,https://yts.mx/assets/images/movies/suburban_wildlife_2019/background.jpg,https://yts.mx/assets/images/movies/suburban_wildlife_2019/background.jpg,2020-07-14 15:17:18,1594732638,"Long-time friends Louise, Nina and Alice celebrate their recent graduation with hectic partying, joined by their friend Kane who is the only friend not to attend university. Louise's imminent departure for London adds to the underlying tension within the group, and as the boundaries between real and surreal blur, Louise devises an intervention to save their final days together. They embark on a road trip to regional Australia, and upon returning home face the reality of her departure. They are left, a group of suburban animals, on the threshold of their lives.",['Drama'],19246,tt7294266,English,https://yts.mx/assets/images/movies/suburban_wildlife_2019/large-cover.jpg,https://yts.mx/assets/images/movies/suburban_wildlife_2019/medium-cover.jpg,,5.8,90,suburban-wildlife-2019,https://yts.mx/assets/images/movies/suburban_wildlife_2019/small-cover.jpg,ok,"Long-time friends Louise, Nina and Alice celebrate their recent graduation with hectic partying, joined by their friend Kane who is the only friend not to attend university. Louise's imminent departure for London adds to the underlying tension within the group, and as the boundaries between real and surreal blur, Louise devises an intervention to save their final days together. They embark on a road trip to regional Australia, and upon returning home face the reality of her departure. They are left, a group of suburban animals, on the threshold of their lives.","Long-time friends Louise, Nina and Alice celebrate their recent graduation with hectic partying, joined by their friend Kane who is the only friend not to attend university. Louise's imminent departure for London adds to the underlying tension within the group, and as the boundaries between real and surreal blur, Louise devises an intervention to save their final days together. They embark on a road trip to regional Australia, and upon returning home face the reality of her departure. They are left, a group of suburban animals, on the threshold of their lives.",Suburban Wildlife,Suburban Wildlife,Suburban Wildlife (2019),"[{'date_uploaded_unix': 1594732638, 'size': '786.38 MB', 'peers': 13, 'size_bytes': 824579195, 'type': 'web', 'seeds': 48, 'date_uploaded': '2020-07-14 15:17:18', 'quality': '720p', 'hash': '01228FE60FE46AD7A78D6EBEE6D234A5099A7AE5', 'url': 'https://yts.mx/torrent/download/01228FE60FE46AD7A78D6EBEE6D234A5099A7AE5'}, {'date_uploaded_unix': 1594739937, 'size': '1.43 GB', 'peers': 13, 'size_bytes': 1535450808, 'type': 'web', 'seeds': 43, 'date_uploaded': '2020-07-14 17:18:57', 'quality': '1080p', 'hash': '70CED155B2D7B978A9F3D5F99609EEED159AF3B2', 'url': 'https://yts.mx/torrent/download/70CED155B2D7B978A9F3D5F99609EEED159AF3B2'}]",https://yts.mx/movies/suburban-wildlife-2019,2019,rtLc3dZ57YA
4,https://yts.mx/assets/images/movies/useless_humans_2020/background.jpg,https://yts.mx/assets/images/movies/useless_humans_2020/background.jpg,2020-07-14 18:27:42,1594744062,"A thirtieth birthday -- and the survival of mankind -- are left hanging in the balance after a mysterious creature crashes the party, forcing four childhood friends to save the night.","['Adventure', 'Comedy', 'Horror', 'Sci-Fi']",19245,tt7127184,English,https://yts.mx/assets/images/movies/useless_humans_2020/large-cover.jpg,https://yts.mx/assets/images/movies/useless_humans_2020/medium-cover.jpg,,3.9,77,useless-humans-2020,https://yts.mx/assets/images/movies/useless_humans_2020/small-cover.jpg,ok,"A thirtieth birthday -- and the survival of mankind -- are left hanging in the balance after a mysterious creature crashes the party, forcing four childhood friends to save the night.","A thirtieth birthday -- and the survival of mankind -- are left hanging in the balance after a mysterious creature crashes the party, forcing four childhood friends to save the night.",Useless Humans,Useless Humans,Useless Humans (2020),"[{'date_uploaded_unix': 1594744062, 'size': '707.05 MB', 'peers': 53, 'size_bytes': 741395661, 'type': 'web', 'seeds': 221, 'date_uploaded': '2020-07-14 18:27:42', 'quality': '720p', 'hash': '5195F25DF7A6855F36E91E8874B31A333E603E4E', 'url': 'https://yts.mx/torrent/download/5195F25DF7A6855F36E91E8874B31A333E603E4E'}, {'date_uploaded_unix': 1594747763, 'size': '1.42 GB', 'peers': 27, 'size_bytes': 1524713390, 'type': 'web', 'seeds': 178, 'date_uploaded': '2020-07-14 19:29:23', 'quality': '1080p', 'hash': 'F13ACDBB21B6B26481E6CFE37D4DAE43F770C135', 'url': 'https://yts.mx/torrent/download/F13ACDBB21B6B26481E6CFE37D4DAE43F770C135'}]",https://yts.mx/movies/useless-humans-2020,2020,JDKlf6dpsvo
5,https://yts.mx/assets/images/movies/coven_2020/background.jpg,https://yts.mx/assets/images/movies/coven_2020/background.jpg,2020-07-14 15:50:09,1594734609,Five undergrad witches come together in order to perform a ritual to invoke the ancient powers of the witch Ashura. The leader of the coven gets carried away and accidentally kills one of the witches during the ritual. She needs the strength of a complete coven to invoke Ashura's powers and sends them out to find a final witch. As she absorbs power the surviving girls' plot to take her down but the possessed witch unleashes hell on campus with only one young witch left to stop her.,['Horror'],19244,tt6844138,English,https://yts.mx/assets/images/movies/coven_2020/large-cover.jpg,https://yts.mx/assets/images/movies/coven_2020/medium-cover.jpg,,2.7,80,coven-2020,https://yts.mx/assets/images/movies/coven_2020/small-cover.jpg,ok,Five undergrad witches come together in order to perform a ritual to invoke the ancient powers of the witch Ashura. The leader of the coven gets carried away and accidentally kills one of the witches during the ritual. She needs the strength of a complete coven to invoke Ashura's powers and sends them out to find a final witch. As she absorbs power the surviving girls' plot to take her down but the possessed witch unleashes hell on campus with only one young witch left to stop her.,Five undergrad witches come together in order to perform a ritual to invoke the ancient powers of the witch Ashura. The leader of the coven gets carried away and accidentally kills one of the witches during the ritual. She needs the strength of a complete coven to invoke Ashura's powers and sends them out to find a final witch. As she absorbs power the surviving girls' plot to take her down but the possessed witch unleashes hell on campus with only one young witch left to stop her.,Coven,Coven,Coven (2020),"[{'date_uploaded_unix': 1594734609, 'size': '739.95 MB', 'peers': 42, 'size_bytes': 775893811, 'type': 'web', 'seeds': 168, 'date_uploaded': '2020-07-14 15:50:09', 'quality': '720p', 'hash': 'AD605DA4AE435E9112959D14FE1B0E3A98F9C9DC', 'url': 'https://yts.mx/torrent/download/AD605DA4AE435E9112959D14FE1B0E3A98F9C9DC'}, {'date_uploaded_unix': 1594740591, 'size': '1.49 GB', 'peers': 35, 'size_bytes': 1599875318, 'type': 'web', 'seeds': 120, 'date_uploaded': '2020-07-14 17:29:51', 'quality': '1080p', 'hash': 'C0A9C8633A974283D65379C3573E75B246828085', 'url': 'https://yts.mx/torrent/download/C0A9C8633A974283D65379C3573E75B246828085'}]",https://yts.mx/movies/coven-2020,2020,AB7zEdTEYg0
6,https://yts.mx/assets/images/movies/urzila_carlson_overqualified_loser_2020/background.jpg,https://yts.mx/assets/images/movies/urzila_carlson_overqualified_loser_2020/background.jpg,2020-07-14 13:01:13,1594724473,"Stand-up comedian Urzila Carlson keeps the crowd roaring with her thoughts on recasting ""The Biggest Loser,"" sex tape regrets and boxed wine hangovers.",['Comedy'],19243,tt12580626,English,https://yts.mx/assets/images/movies/urzila_carlson_overqualified_loser_2020/large-cover.jpg,https://yts.mx/assets/images/movies/urzila_carlson_overqualified_loser_2020/medium-cover.jpg,,5.6,62,urzila-carlson-overqualified-loser-2020,https://yts.mx/assets/images/movies/urzila_carlson_overqualified_loser_2020/small-cover.jpg,ok,"Stand-up comedian Urzila Carlson keeps the crowd roaring with her thoughts on recasting ""The Biggest Loser,"" sex tape regrets and boxed wine hangovers.","Stand-up comedian Urzila Carlson keeps the crowd roaring with her thoughts on recasting ""The Biggest Loser,"" sex tape regrets and boxed wine hangovers.",Urzila Carlson: Overqualified Loser,Urzila Carlson: Overqualified Loser,Urzila Carlson: Overqualified Loser (2020),"[{'date_uploaded_unix': 1594724473, 'size': '573.75 MB', 'peers': 16, 'size_bytes': 601620480, 'type': 'web', 'seeds': 45, 'date_uploaded': '2020-07-14 13:01:13', 'quality': '720p', 'hash': 'B60452CD48DBD4B5ACDE1830BC9B6F45C806FFAE', 'url': 'https://yts.mx/torrent/download/B60452CD48DBD4B5ACDE1830BC9B6F45C806FFAE'}, {'date_uploaded_unix': 1594728873, 'size': '1.15 GB', 'peers': 16, 'size_bytes': 1234803098, 'type': 'web', 'seeds': 32, 'date_uploaded': '2020-07-14 14:14:33', 'quality': '1080p', 'hash': '4380F286F8B6880FF719E21AB7AA48ACEAB5CA62', 'url': 'https://yts.mx/torrent/download/4380F286F8B6880FF719E21AB7AA48ACEAB5CA62'}]",https://yts.mx/movies/urzila-carlson-overqualified-loser-2020,2020,
7,https://yts.mx/assets/images/movies/we_are_one_2020/background.jpg,https://yts.mx/assets/images/movies/we_are_one_2020/background.jpg,2020-07-14 13:57:15,1594727835,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,['Documentary'],19240,tt12588398,English,https://yts.mx/assets/images/movies/we_are_one_2020/large-cover.jpg,https://yts.mx/assets/images/movies/we_are_one_2020/medium-cover.jpg,,3.9,86,we-are-one-2020,https://yts.mx/assets/images/movies/we_are_one_2020/small-cover.jpg,ok,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video Solidarité.,We Are One,We Are One,We Are One (2020),"[{'date_uploaded_unix': 1594727835, 'size': '796.45 MB', 'peers': 14, 'size_bytes': 835138355, 'type': 'web', 'seeds': 20, 'date_uploaded': '2020-07-14 13:57:15', 'quality': '720p', 'hash': 'FEB3A603B32E8FE42E32BB6E1D3D99B32F3DF80E', 'url': 'https://yts.mx/torrent/download/FEB3A603B32E8FE42E32BB6E1D3D99B32F3DF80E'}, {'date_uploaded_unix': 1594734307, 'size': '1.6 GB', 'peers': 10, 'size_bytes': 1717986918, 'type': 'web', 'seeds': 24, 'date_uploaded': '2020-07-14 15:45:07', 'quality': '1080p', 'hash': '20170C95F6900AC5BD23927D2BBE305E5B72D73D', 'url': 'https://yts.mx/torrent/download/20170C95F6900AC5BD23927D2BBE305E5B72D73D'}]",https://yts.mx/movies/we-are-one-2020,2020,
8,https://yts.mx/assets/images/movies/background_to_danger_1943/background.jpg,https://yts.mx/assets/images/movies/background_to_danger_1943/background.jpg,2020-07-14 13:34:15,1594726455,"Ankara in neutral Turkey : World War Two. A town of intrigue and of provocateurs. The Germans are planning to leak maps apparently proving that the Russians are about to invade the country. American Joe Barton is in the know and in the middle, along with Zaloshoff and his sister who may or may not be Russians. What is clear though is that odious Colonel Robinson is a full-blown Nazi.","['Drama', 'Thriller', 'War']",19241,tt0035659,English,https://yts.mx/assets/images/movies/background_to_danger_1943/large-cover.jpg,https://yts.mx/assets/images/movies/background_to_danger_1943/medium-cover.jpg,,6.4,80,background-to-danger-1943,https://yts.mx/assets/images/movies/background_to_danger_1943/small-cover.jpg,ok,"Ankara in neutral Turkey : World War Two. A town of intrigue and of provocateurs. The Germans are planning to leak maps apparently proving that the Russians are about to invade the country. American Joe Barton is in the know and in the middle, along with Zaloshoff and his sister who may or may not be Russians. What is clear though is that odious Colonel Robinson is a full-blown Nazi.","Ankara in neutral Turkey : World War Two. A town of intrigue and of provocateurs. The Germans are planning to leak maps apparently proving that the Russians are about to invade the country. American Joe Barton is in the know and in the middle, along with Zaloshoff and his sister who may or may not be Russians. What is clear though is that odious Colonel Robinson is a full-blown Nazi.",Background to Danger,Background to Danger,Background to Danger (1943),"[{'date_uploaded_unix': 1594726455, 'size': '734.91 MB', 'peers': 5, 'size_bytes': 770608988, 'type': 'web', 'seeds': 19, 'date_uploaded': '2020-07-14 13:34:15', 'quality': '720p', 'hash': '95C13D1700DE8C69FC8DD992E8FE392557647B2D', 'url': 'https://yts.mx/torrent/download/95C13D1700DE8C69FC8DD992E8FE392557647B2D'}, {'date_uploaded_unix': 1594733589, 'size': '1.33 GB', 'peers': 7, 'size_bytes': 1428076626, 'type': 'web', 'seeds': 16, 'date_uploaded': '2020-07-14 15:33:09', 'quality': '1080p', 'hash': 'AF0DBB2C9599708A7ECD8768155B49A947644DED', 'url': 'https://yts.mx/torrent/download/AF0DBB2C9599708A7ECD8768155B49A947644DED'}]",https://yts.mx/movies/background-to-danger-1943,1943,853zN_Ck5XU
9,https://yts.mx/assets/images/movies/clementine_2019/background.jpg,https://yts.mx/assets/images/movies/clementine_2019/background.jpg,2020-07-14 13:15:29,1594725329,"Reeling from a one-sided breakup, heartbroken Karen breaks into her ex's lake house. There, she strikes up a complicated relationship with provocative younger woman Lana.",['Drama'],19242,tt7311036,English,https://yts.mx/assets/images/movies/clementine_2019/large-cover.jpg,https://yts.mx/assets/images/movies/clementine_2019/medium-cover.jpg,,5.4,90,clementine-2019,https://yts.mx/assets/images/movies/clementine_2019/small-cover.jpg,ok,"Reeling from a one-sided breakup, heartbroken Karen breaks into her ex's lake house. There, she strikes up a complicated relationship with provocative younger woman Lana.","Reeling from a one-sided breakup, heartbroken Karen breaks into her ex's lake house. There, she strikes up a complicated relationship with provocative younger woman Lana.",Clementine,Clementine,Clementine (2019),"[{'date_uploaded_unix': 1594725329, 'size': '865.39 MB', 'peers': 14, 'size_bytes': 907427185, 'type': 'web', 'seeds': 65, 'date_uploaded': '2020-07-14 13:15:29', 'quality': '720p', 'hash': 'AFFE2F5CC014442769EC229942E0E5E4B7C2FD14', 'url': 'https://yts.mx/torrent/download/AFFE2F5CC014442769EC229942E0E5E4B7C2FD14'}, {'date_uploaded_unix': 1594731530, 'size': '1.74 GB', 'peers': 21, 'size_bytes': 1868310774, 'type': 'web', 'seeds': 42, 'date_uploaded': '2020-07-14 14:58:50', 'quality': '1080p', 'hash': 'F418B8F660FF3C1B8ED58BEC53A501FF70EE5B2E', 'url': 'https://yts.mx/torrent/download/F418B8F660FF3C1B8ED58BEC53A501FF70EE5B2E'}]",https://yts.mx/movies/clementine-2019,2019,Mn_pMYN_xHc
10,https://yts.mx/assets/images/movies/cruising_bar_1989/background.jpg,https://yts.mx/assets/images/movies/cruising_bar_1989/background.jpg,2020-07-14 17:15:55,1594739755,"In this outrageous comedy (where the lead characters are played by the same actor), four men from very different backgrounds set out to go ""babe-hunting"" on a Saturday night. Follow a very shy nerd, a broken- hearted junkie, a snob yuppy, and a middle-aged married man through their amazing ordeal!",['Comedy'],19239,tt0097131,English,https://yts.mx/assets/images/movies/cruising_bar_1989/large-cover.jpg,https://yts.mx/assets/images/movies/cruising_bar_1989/medium-cover.jpg,R,6.8,96,cruising-bar-1989,https://yts.mx/assets/images/movies/cruising_bar_1989/small-cover.jpg,ok,"In this outrageous comedy (where the lead characters are played by the same actor), four men from very different backgrounds set out to go ""babe-hunting"" on a Saturday night. Follow a very shy nerd, a broken- hearted junkie, a snob yuppy, and a middle-aged married man through their amazing ordeal!","In this outrageous comedy (where the lead characters are played by the same actor), four men from very different backgrounds set out to go ""babe-hunting"" on a Saturday night. Follow a very shy nerd, a broken- hearted junkie, a snob yuppy, and a middle-aged married man through their amazing ordeal!",Cruising Bar,Cruising Bar,Cruising Bar (1989),"[{'date_uploaded_unix': 1594739755, 'size': '884.68 MB', 'peers': 6, 'size_bytes': 927654216, 'type': 'web', 'seeds': 13, 'date_uploaded': '2020-07-14 17:15:55', 'quality': '720p', 'hash': 'DCB6B3ADB0DB6BC0D4B7944DDE17979504C77B6A', 'url': 'https://yts.mx/torrent/download/DCB6B3ADB0DB6BC0D4B7944DDE17979504C77B6A'}, {'date_uploaded_unix': 1594749886, 'size': '1.6 GB', 'peers': 5, 'size_bytes': 1717986918, 'type': 'web', 'seeds': 15, 'date_uploaded': '2020-07-14 20:04:46', 'quality': '1080p', 'hash': '922DFBB0E07F9852D0F46AC112B15D03D26133DF', 'url': 'https://yts.mx/torrent/download/922DFBB0E07F9852D0F46AC112B15D03D26133DF'}]",https://yts.mx/movies/cruising-bar-1989,1989,vGdwAS8ibow
11,https://yts.mx/assets/images/movies/cruising_bar_2_2008/background.jpg,https://yts.mx/assets/images/movies/cruising_bar_2_2008/background.jpg,2020-07-14 12:52:58,1594723978,"They're back! Fifteen years later, the heroes from Cruising Bar may hardly have changed but the world around them most certainly has! For the Bull, reality is brutal. His wife of 30 years, sick of his infidelity, decides to show him the door. But the Bull, who has a positive outlook on life, isn't so easily defeated and fights for his survival. The Lion too faces a break-up when his girlfriend leaves. All alone, he's force to relearn the art of seduction. The Peacock, on the other hand, is trying to figure out his sexual identity with the help of a psychologist. As for the Earthworm, his long wait for a soul mate will, at last, be requited.",['Comedy'],19238,tt1166094,English,https://yts.mx/assets/images/movies/cruising_bar_2_2008/large-cover.jpg,https://yts.mx/assets/images/movies/cruising_bar_2_2008/medium-cover.jpg,,5.6,0,cruising-bar-2-2008,https://yts.mx/assets/images/movies/cruising_bar_2_2008/small-cover.jpg,ok,"They're back! Fifteen years later, the heroes from Cruising Bar may hardly have changed but the world around them most certainly has! For the Bull, reality is brutal. His wife of 30 years, sick of his infidelity, decides to show him the door. But the Bull, who has a positive outlook on life, isn't so easily defeated and fights for his survival. The Lion too faces a break-up when his girlfriend leaves. All alone, he's force to relearn the art of seduction. The Peacock, on the other hand, is trying to figure out his sexual identity with the help of a psychologist. As for the Earthworm, his long wait for a soul mate will, at last, be requited.","They're back! Fifteen years later, the heroes from Cruising Bar may hardly have changed but the world around them most certainly has! For the Bull, reality is brutal. His wife of 30 years, sick of his infidelity, decides to show him the door. But the Bull, who has a positive outlook on life, isn't so easily defeated and fights for his survival. The Lion too faces a break-up when his girlfriend leaves. All alone, he's force to relearn the art of seduction. The Peacock, on the other hand, is trying to figure out his sexual identity with the help of a psychologist. As for the Earthworm, his long wait for a soul mate will, at last, be requited.",Cruising Bar 2,Cruising Bar 2,Cruising Bar 2 (2008),"[{'date_uploaded_unix': 1594723978, 'size': '952.21 MB', 'peers': 5, 'size_bytes': 998464553, 'type': 'web', 'seeds': 14, 'date_uploaded': '2020-07-14 12:52:58', 'quality': '720p', 'hash': 'DE59243F1A825885316996FBE8A004071EE55EC3', 'url': 'https://yts.mx/torrent/download/DE59243F1A825885316996FBE8A004071EE55EC3'}, {'date_uploaded_unix': 1594734490, 'size': '1.91 GB', 'peers': 10, 'size_bytes': 2050846884, 'type': 'web', 'seeds': 12, 'date_uploaded': '2020-07-14 15:48:10', 'quality': '1080p', 'hash': '5B44D30B637004FD71F814396A8E1438E56715F7', 'url': 'https://yts.mx/torrent/download/5B44D30B637004FD71F814396A8E1438E56715F7'}]",https://yts.mx/movies/cruising-bar-2-2008,2008,83VS_8qo1z4
12,https://yts.mx/assets/images/movies/alpha_code_2020/background.jpg,https://yts.mx/assets/images/movies/alpha_code_2020/background.jpg,2020-07-14 14:13:59,1594728839,"Johana (Denise Richards, Starship Troopers), a woman with no past, is hiding from a UN Agent Bowie(Randy Couture, The Expendables, 5 x UFC Champion)a head of secret space program. On her run she meets Martin(Bren Foster-TV's The Last Ship) and with help of Bowie's ex-colleague Lance they both help Martin to find his half alien daughter. The movie is based on the real life story of Milan Friedrich.","['Romance', 'Sci-Fi', 'Thriller']",19236,tt7507924,English,https://yts.mx/assets/images/movies/alpha_code_2020/large-cover.jpg,https://yts.mx/assets/images/movies/alpha_code_2020/medium-cover.jpg,,3.5,97,alpha-code-2020,https://yts.mx/assets/images/movies/alpha_code_2020/small-cover.jpg,ok,"Johana (Denise Richards, Starship Troopers), a woman with no past, is hiding from a UN Agent Bowie(Randy Couture, The Expendables, 5 x UFC Champion)a head of secret space program. On her run she meets Martin(Bren Foster-TV's The Last Ship) and with help of Bowie's ex-colleague Lance they both help Martin to find his half alien daughter. The movie is based on the real life story of Milan Friedrich.","Johana (Denise Richards, Starship Troopers), a woman with no past, is hiding from a UN Agent Bowie(Randy Couture, The Expendables, 5 x UFC Champion)a head of secret space program. On her run she meets Martin(Bren Foster-TV's The Last Ship) and with help of Bowie's ex-colleague Lance they both help Martin to find his half alien daughter. The movie is based on the real life story of Milan Friedrich.",Alpha Code,Alpha Code,Alpha Code (2020),"[{'date_uploaded_unix': 1594728839, 'size': '894.96 MB', 'peers': 30, 'size_bytes': 938433577, 'type': 'web', 'seeds': 175, 'date_uploaded': '2020-07-14 14:13:59', 'quality': '720p', 'hash': '9C3AAADDDB664ED71F9E5592940316AC19D97765', 'url': 'https://yts.mx/torrent/download/9C3AAADDDB664ED71F9E5592940316AC19D97765'}, {'date_uploaded_unix': 1594734933, 'size': '1.8 GB', 'peers': 31, 'size_bytes': 1932735283, 'type': 'web', 'seeds': 116, 'date_uploaded': '2020-07-14 15:55:33', 'quality': '1080p', 'hash': 'C9FCCCD125BEF2229AAE72D5E2E8DFDB28559FDD', 'url': 'https://yts.mx/torrent/download/C9FCCCD125BEF2229AAE72D5E2E8DFDB28559FDD'}]",https://yts.mx/movies/alpha-code-2020,2020,DzHXuum9Gdc
